"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STAT1",0.00318229101877246,0.396035991574861,0.355,0.136,1,"7","STAT1"
"SNX6",0.00321846825242411,0.518692590941472,0.387,0.153,1,"7","SNX6"
"XRN2",0.00324598681205469,0.440964080368862,0.355,0.135,1,"7","XRN2"
"TUBA1A1",0.00326268509844915,0.582008374863937,0.774,0.459,1,"7","TUBA1A"
"DIAPH1",0.00330178993453994,0.467756407403365,0.258,0.088,1,"7","DIAPH1"
"MDH22",0.00336653089297735,0.295015247655735,0.677,0.294,1,"7","MDH2"
"STX72",0.0033701701086413,0.562380998282475,0.323,0.122,1,"7","STX7"
"MIDN1",0.00340988315557609,0.551991010596583,0.29,0.105,1,"7","MIDN"
"SNRNP40",0.00345688471271882,0.382226733026973,0.323,0.117,1,"7","SNRNP40"
"SRSF4",0.00347871720704406,0.299528489596549,0.355,0.133,1,"7","SRSF4"
"VDAC2",0.00354121134813896,0.328714631824192,0.645,0.282,1,"7","VDAC2"
"PRMT10",0.00354699337762283,0.414320966182726,0.258,0.087,1,"7","PRMT10"
"SSR1",0.00357746640362272,0.395415515297975,0.355,0.135,1,"7","SSR1"
"SLC25A31",0.00358214985264849,0.782155069508266,0.903,0.521,1,"7","SLC25A3"
"IRF2BP2",0.00362146277373539,0.580255284949541,0.29,0.105,1,"7","IRF2BP2"
"BRD2",0.00362341626861908,0.493686192863023,0.387,0.154,1,"7","BRD2"
"TUBB4B1",0.0036808189629985,0.312437044546281,0.355,0.133,1,"7","TUBB4B"
"PRMT1",0.00373705708292913,0.39010735025712,0.452,0.185,1,"7","PRMT1"
"ZRANB2",0.00375508880218719,0.344787255947404,0.258,0.087,1,"7","ZRANB2"
"MT-CO12",0.00379517343646479,0.30596696396327,1,0.995,1,"7","MT-CO1"
"MSRB12",0.00383153582671861,0.523324764142968,0.29,0.106,1,"7","MSRB1"
"COX5A2",0.00383312993699557,0.305952334747448,0.742,0.351,1,"7","COX5A"
"ATP6V0B2",0.00385923957289997,0.33220338357674,0.677,0.334,1,"7","ATP6V0B"
"MT-ND51",0.00395168431924152,0.79203919035166,0.935,0.512,1,"7","MT-ND5"
"CSDE1",0.00398054906787448,0.308595845832512,0.677,0.299,1,"7","CSDE1"
"ATP6V1F2",0.0041346496577638,0.28893070416528,0.774,0.368,1,"7","ATP6V1F"
"SHARPIN",0.00416061790056037,0.647486443334491,0.258,0.092,1,"7","SHARPIN"
"C10orf542",0.00417009187138957,0.270097335477143,0.742,0.368,1,"7","C10orf54"
"COPZ11",0.0042043995900178,0.449206562229863,0.452,0.191,1,"7","COPZ1"
"MCL11",0.00430892762477631,0.536693627151849,0.742,0.405,1,"7","MCL1"
"PDLIM21",0.00433584367983213,0.396258274630805,0.387,0.154,1,"7","PDLIM2"
"RP1-241P17.4",0.00443117741974366,0.370441110122504,0.323,0.12,1,"7","RP1-241P17.4"
"CUEDC2",0.00446454616998919,0.35771664734313,0.323,0.12,1,"7","CUEDC2"
"MRP63",0.00448766523387177,0.458684672104965,0.452,0.198,1,"7","MRP63"
"ZNF7062",0.00454180484857935,0.502749565798916,0.677,0.309,1,"7","ZNF706"
"PDCL31",0.0045825722428388,0.389961240385787,0.323,0.121,1,"7","PDCL3"
"EIF2AK1",0.00460631795378489,0.564310527426436,0.258,0.091,1,"7","EIF2AK1"
"CDK5RAP3",0.00462110586253006,0.384856797380441,0.29,0.105,1,"7","CDK5RAP3"
